gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ACOT8,cnv,,,,,
ACOT9,mut,,,,,
ACOT9,cnv,,,,,
ACOX1,mut,,,,,
ACOX1,cnv,,,,,
ACOX2,mut,,,,,
ACOX2,cnv,,,,,
ACOX3,mut,,,,,
ACOX3,cnv,,,,,
ACOXL,mut,,,,,
ACOXL,cnv,,,,,
ACP1,mut,,,,,
ACP1,cnv,,,,,
ACP2,mut,,,,,
ACP2,cnv,,,,,
ACP5,mut,,,,,
ACP5,cnv,,,,,
ACP6,mut,,,,,
ACP6,cnv,,,,,
ACPL2,mut,,,,,
ACPL2,cnv,,,,,
ACPP,mut,,,,,
ACPP,cnv,,,,,
ACPT,mut,,,,,
ACPT,cnv,,,,,
ACR,mut,,,,,
ACR,cnv,,,,,
ACRBP,mut,,,,,
ACRBP,cnv,,,,,
ACRC,mut,,,,,
ACRC,cnv,,,,,
ACRV1,mut,,,,,
ACRV1,cnv,,,,,
ACSBG1,mut,,,,,
ACSBG1,cnv,,,,,
ACSBG2,mut,,,,,
ACSBG2,cnv,,,,,
ACSF2,mut,,,,,
ACSF2,cnv,,,,,
ACSF3,mut,,,,,
ACSF3,cnv,,,,,
ACSL1,mut,,,,,
ACSL1,cnv,,,,,
ACSL3,mut,,,,,
ACSL3,cnv,,,,,
ACSL4,mut,,,,,
ACSL4,cnv,,,,,
ACSL5,mut,,,,,
ACSL5,cnv,,,,,
ACSL6,mut,,,,,
ACSL6,cnv,,,,,
ACSM1,mut,,,,,
ACSM1,cnv,,,,,
ACSM2A,mut,,,,,
ACSM2A,cnv,,,,,
ACSM2B,mut,,,,,
ACSM2B,cnv,,,,,
ACSM3,mut,,,,,
ACSM3,cnv,,,,,
ACSM4,mut,,,,,
ACSM4,cnv,,,,,
ACSM5,mut,,,,,
ACSM5,cnv,,,,,
ACSS1,mut,,,,,
ACSS1,cnv,,,,,
ACSS2,mut,,,,,
ACSS2,cnv,,,,,
ACSS3,mut,,,,,
ACSS3,cnv,,,,,
ACTA1,mut,,,,,
ACTA1,cnv,,,,,
ACTA2,mut,,,,,
ACTA2,cnv,,,,,
ACTB,mut,,,,,
ACTB,cnv,,,,,
ACTBL2,mut,,,,,
ACTBL2,cnv,,,,,
ACTBP12,mut,,,,,
ACTBP12,cnv,,,,,
ACTC1,mut,,,,,
ACTC1,cnv,,,,,
ACTG1,mut,,,,,
ACTG1,cnv,,,,,
ACTG2,mut,,,,,
ACTG2,cnv,,,,,
ACTL10,mut,,,,,
ACTL10,cnv,,,,,
ACTL6A,mut,,,,,
ACTL6A,cnv,,,,,
ACTL6B,mut,,,,,
ACTL6B,cnv,,,,,
ACTL7A,mut,,,,,
ACTL7A,cnv,,,,,
ACTL7B,mut,,,,,
ACTL7B,cnv,,,,,
ACTL8,mut,,,,,
ACTL8,cnv,,,,,
ACTL9,mut,,,,,
ACTL9,cnv,,,,,
ACTN1,mut,,,,,
ACTN1,cnv,,,,,
ACTN2,mut,,,,,
ACTN2,cnv,,,,,
ACTN3,mut,,,,,
ACTN3,cnv,,,,,
ACTN4,mut,,,,,
ACTN4,cnv,,,,,
ACTR10,mut,,,,,
ACTR10,cnv,,,,,
ACTR1A,mut,,,,,
ACTR1A,cnv,,,,,
ACTR1B,mut,,,,,
ACTR1B,cnv,,,,,
ACTR2,mut,,,,,
ACTR2,cnv,,,,,
ACTR3,mut,,,,,
ACTR3,cnv,,,,,
ACTR3B,mut,,,,,
ACTR3B,cnv,,,,,
ACTR3C,mut,,,,,
ACTR3C,cnv,,,,,
ACTR5,mut,,,,,
ACTR5,cnv,,,,,
ACTR6,mut,,,,,
ACTR6,cnv,,,,,
ACTR8,mut,,,,,
ACTR8,cnv,,,,,
ACTRT1,mut,,,,,
ACTRT1,cnv,,,,,
ACTRT2,mut,,,,,
ACTRT2,cnv,,,,,
ACTRT3,mut,,,,,
ACTRT3,cnv,,,,,
ACVR1,mut,,,,,
ACVR1,cnv,,,,,
ACVR1B,mut,,,,,
ACVR1B,cnv,,,,,
ACVR1C,mut,,,,,
ACVR1C,cnv,,,,,
ACVR2A,mut,,,,,
ACVR2A,cnv,,,,,
ACVR2B,mut,,,,,
ACVR2B,cnv,,,,,
ACVRL1,mut,,,,,
ACVRL1,cnv,,,,,
ACY1,mut,,,,,
ACY1,cnv,,,,,
ACY3,mut,,,,,
ACY3,cnv,,,,,
ACYP1,mut,,,,,
ACYP1,cnv,,,,,
ACYP2,mut,,,,,
ACYP2,cnv,,,,,
ADA,mut,,,,,
ADA,cnv,,,,,
ADAD1,mut,,,,,
ADAD1,cnv,,,,,
ADAD2,mut,,,,,
ADAD2,cnv,,,,,
ADAL,mut,,,,,
ADAL,cnv,,,,,
ADAM10,mut,,,,,
ADAM10,cnv,,,,,
ADAM11,mut,,,,,
ADAM11,cnv,,,,,
ADAM12,mut,,,,,
ADAM12,cnv,,,,,
ADAM15,mut,,,,,
ADAM15,cnv,,,,,
ADAM17,mut,,,,,
ADAM17,cnv,,,,,
ADAM18,mut,,,,,
ADAM18,cnv,,,,,
ADAM19,mut,,,,,
ADAM19,cnv,,,,,
ADAM1A,mut,,,,,
ADAM1A,cnv,,,,,
ADAM2,mut,,,,,
ADAM2,cnv,,,,,
ADAM20,mut,,,,,
ADAM20,cnv,,,,,
ADAM20P1,mut,,,,,
ADAM20P1,cnv,,,,,
ADAM21,mut,,,,,
ADAM21,cnv,,,,,
ADAM21P1,mut,,,,,
ADAM21P1,cnv,,,,,
ADAM22,mut,,,,,
ADAM22,cnv,,,,,
ADAM23,mut,,,,,
ADAM23,cnv,,,,,
ADAM28,mut,,,,,
ADAM28,cnv,,,,,
ADAM29,mut,,,,,
ADAM29,cnv,,,,,
ADAM30,mut,,,,,
ADAM30,cnv,,,,,
ADAM32,mut,,,,,
ADAM32,cnv,,,,,
ADAM33,mut,,,,,
ADAM33,cnv,,,,,
ADAM3A,mut,,,,,
ADAM3A,cnv,,,,,
ADAM5,mut,,,,,
ADAM5,cnv,,,,,
ADAM6,mut,,,,,
ADAM6,cnv,,,,,
ADAM7,mut,,,,,
ADAM7,cnv,,,,,
ADAM8,mut,,,,,
ADAM8,cnv,,,,,
ADAM9,mut,,,,,
ADAM9,cnv,,,,,
ADAMDEC1,mut,,,,,
ADAMDEC1,cnv,,,,,
ADAMTS1,mut,,,,,
ADAMTS1,cnv,,,,,
ADAMTS10,mut,,,,,
ADAMTS10,cnv,,,,,
ADAMTS12,mut,,,,,
ADAMTS12,cnv,,,,,
ADAMTS13,mut,,,,,
ADAMTS13,cnv,,,,,
ADAMTS14,mut,,,,,
ADAMTS14,cnv,,,,,
ADAMTS15,mut,,,,,
ADAMTS15,cnv,,,,,
ADAMTS16,mut,,,,,
ADAMTS16,cnv,,,,,
ADAMTS17,mut,,,,,
ADAMTS17,cnv,,,,,
ADAMTS18,mut,,,,,
ADAMTS18,cnv,,,,,
ADAMTS19,mut,,,,,
ADAMTS19,cnv,,,,,
ADAMTS2,mut,,,,,
ADAMTS2,cnv,,,,,
ADAMTS20,mut,,,,,
ADAMTS20,cnv,,,,,
ADAMTS3,mut,,,,,
ADAMTS3,cnv,,,,,
ADAMTS4,mut,,,,,
ADAMTS4,cnv,,,,,
ADAMTS5,mut,,,,,
ADAMTS5,cnv,,,,,
ADAMTS6,mut,,,,,
ADAMTS6,cnv,,,,,
ADAMTS7,mut,,,,,
ADAMTS7,cnv,,,,,
ADAMTS8,mut,,,,,
ADAMTS8,cnv,,,,,
ADAMTS9,mut,,,,,
ADAMTS9,cnv,,,,,
ADAMTSL1,mut,,,,,
ADAMTSL1,cnv,,,,,
ADAMTSL2,mut,,,,,
ADAMTSL2,cnv,,,,,
ADAMTSL3,mut,,,,,
ADAMTSL3,cnv,,,,,
ADAMTSL4,mut,,,,,
ADAMTSL4,cnv,,,,,
ADAMTSL5,mut,,,,,
ADAMTSL5,cnv,,,,,
ADAP1,mut,,,,,
ADAP1,cnv,,,,,
ADAP2,mut,,,,,
ADAP2,cnv,,,,,
ADAR,mut,,,,,
ADAR,cnv,,,,,
ADARB1,mut,,,,,
ADARB1,cnv,,,,,
ADARB2,mut,,,,,
ADARB2,cnv,,,,,
ADAT1,mut,,,,,
ADAT1,cnv,,,,,
ADAT2,mut,,,,,
ADAT2,cnv,,,,,
ADAT3,mut,,,,,
ADAT3,cnv,,,,,
ADC,mut,,,,,
ADC,cnv,,,,,
ADCK1,mut,,,,,
ADCK1,cnv,,,,,
ADCK2,mut,,,,,
ADCK2,cnv,,,,,
ADCK3,mut,,,,,
ADCK3,cnv,,,,,
ADCK4,mut,,,,,
ADCK4,cnv,,,,,
ADCK5,mut,,,,,
ADCK5,cnv,,,,,
ADCY1,mut,,,,,
ADCY1,cnv,,,,,
ADCY10,mut,,,,,
ADCY10,cnv,,,,,
ADCY10P1,mut,,,,,
ADCY10P1,cnv,,,,,
ADCY2,mut,,,,,
ADCY2,cnv,,,,,
ADCY3,mut,,,,,
ADCY3,cnv,,,,,
