gene,feature,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
ADIPOQ,cnv,,,,,
ADIPOR1,mut,,,,,
ADIPOR1,cnv,,,,,
ADK,mut,,,,,
ADK,cnv,,,,,
ADM,mut,,,,,
ADM,cnv,,,,,
ADO,mut,,,,,
ADO,cnv,,,,,
ADORA1,mut,,,,,
ADORA1,cnv,,,,,
ADORA3,mut,,,,,
ADORA3,cnv,,,,,
ADPRH,mut,,,,,
ADPRH,cnv,,,,,
ADPRHL2,mut,,,,,
ADPRHL2,cnv,,,,,
ADRA1A,mut,,,,,
ADRA1A,cnv,,,,,
ADRA1B,mut,,,,,
ADRA1B,cnv,,,,,
ADRA2A,mut,,,,,
ADRA2A,cnv,,,,,
ADRA2B,mut,,,,,
ADRA2B,cnv,,,,,
ADRA2C,mut,,,,,
ADRA2C,cnv,,,,,
ADRB1,mut,,,,,
ADRB1,cnv,,,,,
ADRB2,mut,,,,,
ADRB2,cnv,,,,,
ADRB3,mut,,,,,
ADRB3,cnv,,,,,
ADRBK1,mut,,,,,
ADRBK1,cnv,,,,,
ADSS,mut,,,,,
ADSS,cnv,,,,,
AEBP1,mut,,,,,
AEBP1,cnv,,,,,
AFAP1,mut,,,,,
AFAP1,cnv,,,,,
AFAP1L1,mut,,,,,
AFAP1L1,cnv,,,,,
AFAP1L2,mut,,,,,
AFAP1L2,cnv,,,,,
AFF1,mut,,,,,
AFF1,cnv,,,,,
AFF3,mut,,,,,
AFF3,cnv,,,,,
AFF4,mut,,,,,
AFF4,cnv,,,,,
AFM,mut,,,,,
AFM,cnv,,,,,
AFP,mut,,,,,
AFP,cnv,,,,,
AFTPH,mut,,,,,
AFTPH,cnv,,,,,
AGA,mut,,,,,
AGA,cnv,,,,,
AGAP1,mut,,,,,
AGAP1,cnv,,,,,
AGAP3,mut,,,,,
AGAP3,cnv,,,,,
AGAP4,mut,,,,,
AGAP4,cnv,,,,,
AGAP8,mut,,,,,
AGAP8,cnv,,,,,
AGBL2,mut,,,,,
AGBL2,cnv,,,,,
AGBL4,mut,,,,,
AGBL4,cnv,,,,,
AGBL5,mut,,,,,
AGBL5,cnv,,,,,
AGER,mut,,,,,
AGER,cnv,,,,,
AGFG1,mut,,,,,
AGFG1,cnv,,,,,
AGFG2,mut,,,,,
AGFG2,cnv,,,,,
AGGF1,mut,,,,,
AGGF1,cnv,,,,,
AGK,mut,,,,,
AGK,cnv,,,,,
AGL,mut,,,,,
AGL,cnv,,,,,
AGPAT1,mut,,,,,
AGPAT1,cnv,,,,,
AGPAT2,mut,,,,,
AGPAT2,cnv,,,,,
AGPAT4,mut,,,,,
AGPAT4,cnv,,,,,
AGPAT5,mut,,,,,
AGPAT5,cnv,,,,,
AGPAT6,mut,,,,,
AGPAT6,cnv,,,,,
AGPAT9,mut,,,,,
AGPAT9,cnv,,,,,
AGPS,mut,,,,,
AGPS,cnv,,,,,
AGR2,mut,,,,,
AGR2,cnv,,,,,
AGR3,mut,,,,,
AGR3,cnv,,,,,
AGRN,mut,,,,,
AGRN,cnv,,,,,
AGT,mut,,,,,
AGT,cnv,,,,,
AGTPBP1,mut,,,,,
AGTPBP1,cnv,,,,,
AGTR1,mut,,,,,
AGTR1,cnv,,,,,
AGXT,mut,,,,,
AGXT,cnv,,,,,
AGXT2,mut,,,,,
AGXT2,cnv,,,,,
AHCTF1,mut,,,,,
AHCTF1,cnv,,,,,
AHCYL1,mut,,,,,
AHCYL1,cnv,,,,,
AHCYL2,mut,,,,,
AHCYL2,cnv,,,,,
AHDC1,mut,,,,,
AHDC1,cnv,,,,,
AHI1,mut,,,,,
AHI1,cnv,,,,,
AHNAK,mut,,,,,
AHNAK,cnv,,,,,
AHR,mut,,,,,
AHR,cnv,,,,,
AHRR,mut,,,,,
AHRR,cnv,,,,,
AHSG,mut,,,,,
AHSG,cnv,,,,,
AIFM2,mut,,,,,
AIFM2,cnv,,,,,
AIG1,mut,,,,,
AIG1,cnv,,,,,
AIM1,mut,,,,,
AIM1,cnv,,,,,
AIM1L,mut,,,,,
AIM1L,cnv,,,,,
AIM2,mut,,,,,
AIM2,cnv,,,,,
AIP,mut,,,,,
AIP,cnv,,,,,
AJAP1,mut,,,,,
AJAP1,cnv,,,,,
AK2,mut,,,,,
AK2,cnv,,,,,
AK3,mut,,,,,
AK3,cnv,,,,,
AK5,mut,,,,,
AK5,cnv,,,,,
AKAP12,mut,,,,,
AKAP12,cnv,,,,,
AKAP2,mut,,,,,
AKAP2,cnv,,,,,
AKAP9,mut,,,,,
AKAP9,cnv,,,,,
AKNA,mut,,,,,
AKNA,cnv,,,,,
AKNAD1,mut,,,,,
AKNAD1,cnv,,,,,
AKR1A1,mut,,,,,
